# Day,Lon,Lat,Altitude[m],NO,acd_NO,NO2,acd_NO2,O3,acd_O3,FORM,toga_CH2O,HNO3,zhou_HNO3,ISOP,ptrms_isoprene,MEOH,toga_Methanol,MEOH,ptrms_methanol,ALD2,toga_Acetaldehyde,ALD2,ptrms_acetaldehyde,ACET,toga_Acetone,BENZ,toga_Benzene,PRPA,toga_Propane,TERP,ptrms_sum_of_monoterpenes,ISPD+HPLD,ptrms_MVK_MACR
20130603,-86.35741,35.93877,136.573,0.624,-999.000,1.956,-999.000,34.537,-999.000,0.847,-999.000,0.654,-999.000,0.409,-999.000,1.475,-999.000,1.475,-999.000,0.236,-999.000,0.236,-999.000,0.670,-999.000,0.045,-999.000,0.130,-999.000,0.039,-999.000,0.139,-999.000
20130603,-86.42917,35.96817,136.214,0.831,-999.000,2.419,-999.000,36.161,-999.000,0.868,-999.000,0.839,-999.000,0.371,-999.000,1.483,-999.000,1.483,-999.000,0.242,-999.000,0.242,-999.000,0.815,-999.000,0.076,-999.000,0.203,-999.000,0.037,-999.000,0.125,-999.000
20130603,-86.46913,35.98450,149.340,0.831,-999.000,2.419,-999.000,36.161,-999.000,0.868,-999.000,0.839,-999.000,0.371,-999.000,1.483,-999.000,1.483,-999.000,0.242,-999.000,0.242,-999.000,0.815,-999.000,0.076,-999.000,0.203,-999.000,0.037,-999.000,0.125,-999.000
20130603,-86.50917,36.01213,248.205,0.704,-999.000,1.873,-999.000,42.255,-999.000,1.033,-999.000,1.137,-999.000,0.191,0.382,1.404,-999.000,1.404,-999.000,0.250,-999.000,0.250,-999.000,0.856,-999.000,0.066,-999.000,0.198,-999.000,0.019,-999.000,0.183,-999.000
20130603,-86.50894,36.05016,581.327,0.790,-999.000,1.936,-999.000,43.655,-999.000,0.957,-999.000,1.233,-999.000,0.091,0.242,1.291,-999.000,1.291,-999.000,0.220,-999.000,0.220,-999.000,0.700,-999.000,0.037,-999.000,0.117,-999.000,0.010,-999.000,0.130,-999.000
20130603,-86.46612,36.03308,965.554,0.332,-999.000,0.754,-999.000,49.181,-999.000,0.952,-999.000,1.719,-999.000,0.016,0.109,1.243,-999.000,1.243,-999.000,0.189,-999.000,0.189,-999.000,0.732,-999.000,0.036,-999.000,0.117,-999.000,0.002,-999.000,0.059,-999.000
20130603,-86.48141,35.97576,1371.750,0.031,103.620,0.058,189.460,50.062,46.484,0.503,-999.000,0.590,-999.000,0.000,0.164,1.011,-999.000,1.011,-999.000,0.064,-999.000,0.064,-999.000,0.701,-999.000,0.009,-999.000,0.101,-999.000,0.000,-999.000,0.001,-999.000
20130603,-86.52791,35.93573,1812.977,0.025,76.685,0.044,175.423,51.422,51.441,0.397,-999.000,0.284,-999.000,0.000,0.159,0.926,-999.000,0.926,-999.000,0.045,-999.000,0.045,-999.000,0.673,-999.000,0.004,-999.000,0.100,-999.000,0.000,-999.000,0.000,-999.000
20130603,-86.59555,35.94070,2193.012,0.030,28.755,0.051,129.206,56.843,53.626,0.365,-999.000,0.248,-999.000,0.000,0.157,0.868,-999.000,0.868,-999.000,0.041,-999.000,0.041,-999.000,0.617,-999.000,0.003,-999.000,0.100,-999.000,0.000,-999.000,0.000,-999.000
20130603,-86.66473,35.95880,2569.867,0.032,3.206,0.056,105.254,73.743,63.016,0.235,-999.000,0.165,-999.000,0.000,0.182,0.636,-999.000,0.636,-999.000,0.019,-999.000,0.019,-999.000,0.551,-999.000,0.000,-999.000,0.100,-999.000,0.000,-999.000,0.000,-999.000
